法令名	法令番号	e-Gov法令ID	取得元	e-Govでの表示
不動産登記令		416CO0000000379	対応表	https://laws.e-gov.go.jp/law/416CO0000000379
不動産登記法		416AC0000000123	対応表	https://laws.e-gov.go.jp/law/416AC0000000123
二法附則第二条の規定による廃止前の競売法	明治三十一年法律第十五号	131AC0000000015	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/131AC0000000015
人事訴訟法	平成十五年法律第百九号	415AC0000000109	対応表	https://laws.e-gov.go.jp/law/415AC0000000109
公証人法	明治四十一年法律第五十三号	141AC0000000053	対応表	https://laws.e-gov.go.jp/law/141AC0000000053
存する建物及び立木に関する法律	明治四十二年法律第二十二号	142AC0000000022	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/142AC0000000022
家事事件手続法		423AC0000000052	対応表	https://laws.e-gov.go.jp/law/423AC0000000052
小型船舶の登録等に関する法律		413AC0000000102	対応表	https://laws.e-gov.go.jp/law/413AC0000000102
建設機械抵当法		329AC0000000097	対応表	https://laws.e-gov.go.jp/law/329AC0000000097
日本電信電話株式会社等に関する法律	昭和五十九年法律第八十五号	359AC0000000085	対応表	https://laws.e-gov.go.jp/law/359AC0000000085
株式等の振替に関する法律	平成十三年法律第七十五号	413AC0000000075	法令番号から組み立て（要確認）	https://laws.e-gov.go.jp/law/413AC0000000075
民事執行法	昭和五十四年法律第四号	354AC0000000004	対応表	https://laws.e-gov.go.jp/law/354AC0000000004
民事訴訟法	平成八年法律第百九号	408AC0000000109	対応表	https://laws.e-gov.go.jp/law/408AC0000000109
民法		129AC0000000089	対応表	https://laws.e-gov.go.jp/law/129AC0000000089
民間事業者による信書の送達に関する法律		414AC0000000099	対応表	https://laws.e-gov.go.jp/law/414AC0000000099
自動車抵当法	昭和二十六年法律第百八十七号	326AC0000000187	対応表	https://laws.e-gov.go.jp/law/326AC0000000187
航空法		327AC0000000231	対応表	https://laws.e-gov.go.jp/law/327AC0000000231
船舶登記令		417CO0000000011	対応表	https://laws.e-gov.go.jp/law/417CO0000000011
著作権法	昭和四十五年法律第四十八号	345AC0000000048	対応表	https://laws.e-gov.go.jp/law/345AC0000000048
行政手続法	平成五年法律第八十八号	405AC0000000088	対応表	https://laws.e-gov.go.jp/law/405AC0000000088
道路運送車両法		326AC0000000185	対応表	https://laws.e-gov.go.jp/law/326AC0000000185
電子記録債権法	平成十九年法律第百二号	419AC0000000102	対応表	https://laws.e-gov.go.jp/law/419AC0000000102
